order_id,customer_id,order_date,channel,category,product_name,quantity,unit_price,discount,is_returned,payment_method,revenue,dq_flag
1001,C001,2024-01-05,web,Electronics,Wireless Mouse,2,25.99,0.1,no,credit_card,46.78,
1002,C002,2024-01-06,marketplace,Home & Garden,Desk Lamp,1,45.00,0,no,paypal,45.00,
1003,C003,2024-01-06,partner,Electronics,USB Hub,3,18.50,0.05,no,credit_card,52.73,
1004,C004,2024-01-07,web,Clothing,T-Shirt,1,19.99,0,no,bank_transfer,19.99,
1005,C005,2024-01-08,marketplace,Electronics,Bluetooth Speaker,1,89.99,0.15,yes,credit_card,76.49,
1006,C002,2024-01-08,web,Home & Garden,Plant Pot,4,12.00,0,no,paypal,48.00,
1007,C006,2024-01-09,partner,Clothing,Hoodie,2,49.99,0.1,no,credit_card,89.98,
1008,C007,2024-01-10,web,Electronics,Phone Case,1,15.99,0,no,credit_card,15.99,
1009,C008,2024-01-11,marketplace,Home & Garden,Candle Set,3,22.50,0.2,no,bank_transfer,54.00,
1010,C009,2024-01-12,web,Electronics,Wireless Mouse,1,25.99,0,no,credit_card,25.99,
1011,C010,2024-01-12,partner,Clothing,Running Shoes,1,120.00,0.1,no,paypal,108.00,
1012,C011,2024-01-13,web,Home & Garden,Wall Clock,1,35.00,0,yes,credit_card,35.00,
1013,C012,2024-01-14,marketplace,Electronics,Webcam,2,55.00,0.05,no,bank_transfer,104.50,
1014,C013,2024-01-15,web,Clothing,Jeans,1,65.00,0,no,credit_card,65.00,
1015,C999,2024-01-15,partner,Electronics,Keyboard,1,75.00,0.1,no,paypal,67.50,orphan
1016,C014,2024-01-16,web,Home & Garden,Throw Pillow,3,18.99,0,no,credit_card,56.97,
1017,C015,2024-01-17,marketplace,Clothing,Sneakers,1,95.00,0.15,yes,paypal,80.75,
1018,C003,2024-01-18,web,Electronics,HDMI Cable,5,8.99,0,no,bank_transfer,44.95,
1019,C016,2024-01-19,partner,Home & Garden,Flower Vase,2,28.00,0.05,no,credit_card,53.20,
1020,C017,2024-01-20,web,Clothing,Winter Jacket,1,149.99,0.2,no,credit_card,119.99,
1021,C018,2024-01-21,marketplace,Electronics,Power Bank,2,39.99,0,no,paypal,79.98,
1022,C019,2024-01-22,web,Home & Garden,Photo Frame,4,14.50,0.1,no,bank_transfer,52.20,
1023,C020,2024-01-23,partner,Clothing,Scarf,3,22.00,0,no,credit_card,66.00,
1024,C001,2024-01-24,web,Electronics,Mouse Pad,2,12.99,0,no,credit_card,25.98,
1025,C021,2024-01-25,marketplace,Home & Garden,Kitchen Scale,1,32.00,0.1,no,paypal,28.80,
1026,C022,2024-01-26,web,Clothing,Polo Shirt,1,34.99,0,no,credit_card,34.99,
1027,C023,2024-01-27,partner,Electronics,Earbuds,1,59.99,0.15,no,bank_transfer,50.99,
1028,C024,2024-01-28,web,Home & Garden,Door Mat,2,19.99,0,no,credit_card,39.98,
1029,C025,2024-01-29,marketplace,Clothing,Baseball Cap,3,16.50,0.05,yes,paypal,47.03,
1030,C026,2024-01-30,web,Electronics,USB Cable,10,5.99,0,no,credit_card,59.90,
1031,C027,2024-01-31,partner,Home & Garden,Soap Dispenser,2,15.00,0.1,no,bank_transfer,27.00,
1032,C028,2024-02-01,web,Clothing,Dress Shirt,1,55.00,0,no,credit_card,55.00,
1033,C029,2024-02-02,marketplace,Electronics,Laptop Stand,1,42.00,0.1,no,paypal,37.80,
1034,C030,2024-02-03,partner,Home & Garden,Bath Towel Set,2,38.00,0.05,no,credit_card,72.20,
1035,C031,2024-02-04,web,Clothing,Leggings,2,29.99,0,no,bank_transfer,59.98,
1036,C032,2024-02-05,marketplace,Electronics,Charger,3,14.99,0,no,credit_card,44.97,
1037,C033,2024-02-06,web,Home & Garden,Table Runner,1,24.50,0,no,paypal,24.50,
1038,C034,2024-02-07,partner,Clothing,Wool Socks,5,8.99,0.1,no,credit_card,40.46,
1039,C035,2024-02-08,web,Electronics,Screen Protector,2,9.99,0.05,no,bank_transfer,18.98,
1040,C036,2024-02-09,marketplace,Home & Garden,Laundry Basket,1,27.00,0,no,credit_card,27.00,
1041,C037,2024-02-10,web,Clothing,Cardigan,1,68.00,0.15,no,paypal,57.80,
1042,C038,2024-02-11,partner,Electronics,Webcam,1,55.00,0.1,yes,credit_card,49.50,
1043,C039,2024-02-12,marketplace,Home & Garden,Picture Hook Set,4,6.50,0,no,bank_transfer,26.00,
1044,C040,2024-02-13,web,Clothing,Belt,1,25.00,0,no,credit_card,25.00,
1045,,2024-02-14,partner,Electronics,Monitor Riser,1,48.00,0.05,no,paypal,45.60,missing_customer
1046,C041,2024-02-15,web,Home & Garden,Cutting Board,2,19.99,0.1,no,credit_card,35.98,
1047,C042,2024-02-16,marketplace,Clothing,Beanie,3,14.00,0,no,bank_transfer,42.00,
1048,C043,2024-02-17,partner,Electronics,Cable Organizer,2,11.99,0,no,credit_card,23.98,
1049,C044,2024-02-18,web,Home & Garden,Coasters Set,1,16.00,0.05,no,paypal,15.20,
1050,C045,2024-02-19,marketplace,Clothing,Gloves,2,21.00,0,yes,credit_card,42.00,
